flex_thumb,flex_index,flex_middle,flex_ring,flex_pinky,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
407,540,538,163,111,0.6039,6.8063,6.3015,0.0491,-0.0028,0.029,P
214,161,167,195,136,0.707,9.7917,0.4419,0.0107,0.03,-0.0937,M
242,537,522,142,126,-0.0659,9.5484,0.6036,-0.0,-0.0255,-0.0018,U
319,572,152,182,122,5.033,7.4905,1.6872,0.0102,0.0219,0.026,G
174,191,193,190,151,0.5416,9.1707,1.2603,-0.1371,0.1076,-0.0144,M
166,559,620,512,591,0.1138,9.7862,0.4863,-0.0212,-0.0285,0.0165,B
189,550,563,566,560,0.1917,9.6564,0.4578,-0.0245,0.0285,0.0177,4
147,171,192,187,122,0.0052,9.1783,1.4023,0.0014,0.0321,0.0003,M
248,157,135,127,99,0.179,9.6246,0.9411,-0.0397,0.1188,-0.0504,S
262,247,536,540,527,0.299,8.9553,1.6038,0.0309,0.0393,0.0294,F
208,161,139,149,502,1.8517,8.5113,2.9592,0.099,0.0287,0.0265,J
388,547,537,147,90,0.4419,9.1258,0.9495,-0.0256,-0.0103,-0.0075,K
554,552,173,158,158,0.1296,8.8822,0.9574,-0.104,0.0337,0.0276,L
344,349,320,330,342,0.6278,9.4195,1.444,0.0587,0.0561,0.0325,O
258,149,150,153,84,0.9818,9.4794,1.1266,0.0001,-0.007,0.0139,S
565,521,173,132,129,0.5615,9.4931,1.6604,-0.0004,-0.0981,0.0268,L
296,368,138,189,71,0.4483,10.0587,1.4279,0.0245,-0.0596,0.0665,9
173,230,228,226,188,0.9492,9.648,0.7095,0.0124,0.0376,-0.0294,E
264,258,561,541,590,0.2131,9.7761,0.9705,-0.0898,0.0119,-0.0127,F
339,333,298,323,323,0.4712,9.5909,1.7271,-0.012,-0.0481,0.0774,O
192,210,183,156,146,-0.4394,9.6039,0.68,0.068,-0.0264,0.0258,N
235,539,564,149,134,0.5257,8.8051,1.0605,0.0652,-0.0154,0.0173,U
392,564,536,167,133,0.2554,6.9281,5.796,-0.0009,-0.0481,-0.0112,P
186,244,200,193,124,-0.0654,9.7692,0.7763,-0.0039,0.0047,0.0111,M
559,570,551,542,562,0.1477,9.0643,0.7471,-0.1181,-0.0182,-0.025,5
160,207,176,189,151,0.8338,9.0899,0.8091,0.0136,-0.0754,0.0401,M
207,552,224,203,185,0.2383,10.0817,0.1758,0.0603,-0.0468,-0.0686,D
204,557,554,556,549,0.2925,9.6446,0.9923,-0.0795,0.0106,0.0531,4
235,528,527,520,134,0.565,9.2433,0.9659,0.1207,-0.013,0.0694,W
427,544,552,149,93,0.7704,9.9007,0.8946,0.0331,-0.0195,0.0144,K
